Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
ME,11,6744,2708,0.4313,0.4309,0.5227,0.2447,0.6843,
